Location,State,Abbreviation,Latitude,Longitude,URN_URSN_loc,TPE_MN,TPE_ND,TPE_SD,TPE_MT
Aberdeen,Idaho,ABR,42.9656285,-112.79855,TRUE,FALSE,FALSE,FALSE,FALSE
Bonners Ferry,Idaho,BFR,48.69211,-116.31763,TRUE,FALSE,FALSE,FALSE,FALSE
Tetonia,Idaho,TET,43.817389,-111.15954,TRUE,FALSE,FALSE,FALSE,FALSE
Glenlea,Manitoba CANADA,GLL,49.6503038,-97.112911,TRUE,FALSE,FALSE,FALSE,FALSE
Winnipeg,Manitoba CANADA,WNP,49.811226,-97.12542,TRUE,FALSE,FALSE,FALSE,FALSE
Becker,Minnesota,BKR,45.394134,-93.869706,FALSE,TRUE,FALSE,FALSE,FALSE
Benson,Minnesota,BNS,45.315215,-95.596506,FALSE,TRUE,TRUE,FALSE,FALSE
Crookston,Minnesota,CRK,47.806576,-96.608666,TRUE,TRUE,TRUE,FALSE,FALSE
Fergus Falls,Minnesota,FRF,46.281455,-96.072938,FALSE,TRUE,TRUE,FALSE,FALSE
Hallock,Minnesota,HLK,48.775782,-96.946481,FALSE,TRUE,TRUE,FALSE,FALSE
Humboldt,Minnesota,HBT,48.921488,-97.094825,FALSE,TRUE,TRUE,FALSE,FALSE
Lamberton,Minnesota,LMB,44.231173,-95.26452,FALSE,TRUE,FALSE,FALSE,FALSE
Kimball,Minnesota,KBL,45.313166,-94.297919,FALSE,TRUE,FALSE,FALSE,FALSE
Le Center,Minnesota,LCR,44.388472,-93.730792,FALSE,TRUE,FALSE,FALSE,FALSE
Morris,Minnesota,MRS,45.6140369,-95.734614,TRUE,TRUE,FALSE,FALSE,FALSE
Oklee,Minnesota,OKL,47.838808,-95.853986,FALSE,TRUE,FALSE,FALSE,FALSE
Perley,Minnesota,PRL,47.177449,-96.804666,FALSE,TRUE,TRUE,FALSE,FALSE
Roseau,Minnesota,ROS,48.844365,-95.757511,FALSE,TRUE,FALSE,FALSE,FALSE
