name_long,name_short,state_short,latitude,longitude
Brookings,BRK,SD,44.320881,-96.77264
Carrington,CRT,ND,47.50865,-99.13215
Crookston,CRK,MN,47.806576,-96.608666
Langdon,LGD,ND,48.756266,-98.342359
Morden,MRD,MB,49.189067,-98.087844
Prosper,PRP,ND,47.00168,-97.11556
St. Paul,STP,MN,44.990279,-93.179955
Morris,MRS,MN,45.598022,-95.909524
Groton,GRT,SD,45.445,-98.101496
Selby,SLB,SD,45.502869,-100.033456
Casselton,CST,ND,46.888056,-97.218285
Minot,MNT,ND,48.218785,-101.252209
Williston,WLT,ND,48.137055,-103.736615
Hettinger,HTG,ND,46.010248,-102.645355
Bozeman,BZM,MT,45.668552,-111.052451
Brandon,BRD,MB,49.865126,-99.967848
Swift Current,SWC,SK,50.282358,-107.853733
Winnipeg,WNP,MB,49.811226,-97.12542
Powell,PWL,WY,44.776217,-108.758892
Sidney,SDN,MT,47.72727,-104.147354
Pullman,PLM,WA,46.723093,-117.139754
Winnipeg,WNP,MB,49.811226,-97.12542
Thompson,TPS,ND,47.774861,-97.104611
Forman,FRM,ND,46.086415,-97.636315
Aberdeen,ABR,SD,45.459899,-98.386464
Berthold,BTD,ND,48.318638,-101.733155
Dickinson,DSN,ND,46.874967,-102.775867
Fergus Falls,FRF,MN,46.280573,-96.090241
Glenlea,GLL,MB,49.639408,-97.141638
Havre,HVR,MT,48.540239,-109.690905
Lind,LND,WA,46.96978,-118.615128
Madison,MAD,SD,44.01274,-97.111177
Tetonia,TET,ID,43.817389,-111.159542
Sabin,SBN,MN,46.780034,-96.648543
Sidney_NE,SID,NE,41.142692,-102.965945
Fargo,FRG,ND,46.901366,-96.814182
Highmore,HMR,SD,44.524067,-99.457434
Sheridan,SHR,WY,44.805039,-106.987253
Watertown,WAT,SD,44.920375,-97.108071
Waseca,WSC,MN,44.077162,-93.524979
Bonners_Ferry,BFR,ID,48.699806,-116.306057
Mead,MED,NE,41.226099,-96.485984
Torrington,TOR,WY,42.070425,-104.177431
Redfield,RED,SD,44.871553,-98.511066
Conrad,CON,MT,48.175471,-111.953139
Moccasin,MSN,MT,47.056713,-109.952334
Saskatoon,SKT,SK,52.134514,-106.622347
