GID	NURSERY	LOC	YEAR	ENV	INC	DIS	SEV	VSK	DON	HD
93FHB_37	URSN	BRK	1995	BRK_95	90	32.1	36	NA	NA	NA
94FHB_28	URSN	BRK	1995	BRK_95	30	2.6	9	NA	NA	NA
94FHB_9	URSN	BRK	1995	BRK_95	100	23.5	24	NA	NA	NA
ACDOMIAN	URSN	BRK	1995	BRK_95	83	18.9	23	NA	NA	NA
B92-0058	URSN	BRK	1995	BRK_95	73	21.3	29	NA	NA	NA
N92-0248	URSN	BRK	1995	BRK_95	35	6.1	18	NA	NA	NA
N92-2031	URSN	BRK	1995	BRK_95	73	12	16	NA	NA	NA
N93-0214	URSN	BRK	1995	BRK_95	80	29.9	37	NA	NA	NA
N93-0305	URSN	BRK	1995	BRK_95	43	5.1	12	NA	NA	NA
N93-0351	URSN	BRK	1995	BRK_95	83	11.7	14	NA	NA	NA
MT9354	URSN	BRK	1995	BRK_95	100	70	70	NA	NA	NA
MT9360	URSN	BRK	1995	BRK_95	50	11	22	NA	NA	NA
ND2603	URSN	BRK	1995	BRK_95	67	16.2	24	NA	NA	NA
ND2604	URSN	BRK	1995	BRK_95	85	13.2	16	NA	NA	NA
ND2729	URSN	BRK	1995	BRK_95	60	12	20	NA	NA	NA
ND2731	URSN	BRK	1995	BRK_95	35	5.5	16	NA	NA	NA
INGOT	URSN	BRK	1995	BRK_95	55	12.8	23	NA	NA	NA
SD31219	URSN	BRK	1995	BRK_95	73	31.8	43	NA	NA	NA
SD3164	URSN	BRK	1995	BRK_95	80	29.3	37	NA	NA	NA
SD3195	URSN	BRK	1995	BRK_95	60	9.2	15	NA	NA	NA
SD3236	URSN	BRK	1995	BRK_95	90	21.2	24	NA	NA	NA
SD3247	URSN	BRK	1995	BRK_95	97	45.1	47	NA	NA	NA
SD8089	URSN	BRK	1995	BRK_95	33	4.7	14	NA	NA	NA
MN2514	URSN	BRK	1995	BRK_95	43	6.1	14	NA	NA	NA
MN2538	URSN	BRK	1995	BRK_95	100	70	70	NA	NA	NA
MN94390	URSN	BRK	1995	BRK_95	80	40	50	NA	NA	NA
BUTTE86	URSN	BRK	1995	BRK_95	89	54.8	61	NA	NA	NA
MARSHALL	URSN	BRK	1995	BRK_95	77	19.2	25	NA	NA	NA
PROSPECT	URSN	BRK	1995	BRK_95	93	41.4	44	NA	NA	NA
SHARP	URSN	BRK	1995	BRK_95	100	58.7	59	NA	NA	NA
SUMAI3	URSN	BRK	1995	BRK_95	47	5.4	12	NA	NA	NA
93FHB_21	URSN	BRK	1995	BRK_95	37	5.7	16	NA	NA	NA
ND2713	URSN	BRK	1995	BRK_95	47	9.5	20	NA	NA	NA
2398	URSN	BRK	1995	BRK_95	100	82.7	83	NA	NA	NA
