GID	SOURCE	FIRST_YEAR	ISCK	NURSERY	SET
CERES	ND	1929	FALSE	URN	PRE1968
HOPE	SD	1929	FALSE	URN	PRE1968
MARQUILLO	MN	1929	FALSE	URN	PRE1968
RELIANCE	OTHER	1929	FALSE	URN	PRE1968
REWARD	AAFC-CA	1929	FALSE	URN	PRE1968
SUPREME	AAFC-CA	1929	FALSE	URN	PRE1968
MARQUIS	AAFC-CA	1929	FALSE	URN	PRE1968
THATCHER	MN	1934	FALSE	URN	PRE1968
2421-7.19.32	ND	1934	FALSE	URN	PRE1968
25347A-1-4-11	ND	1934	FALSE	URN	PRE1968
26347A-1-26	ND	1934	FALSE	URN	PRE1968
27.8D15	ND	1934	FALSE	URN	PRE1968
APEX	AAFC-CA	1934	FALSE	URN	PRE1968
CANUS	AAFC-CA	1934	FALSE	URN	PRE1968
COMET	MT	1934	FALSE	URN	PRE1968
CORONATION	AAFC-CA	1934	FALSE	URN	PRE1968
H209	SD	1934	FALSE	URN	PRE1968
H44	SD	1934	FALSE	URN	PRE1968
II-21-48	MN	1934	FALSE	URN	PRE1968
II-26-6	MN	1934	FALSE	URN	PRE1968
II-26-9	MN	1934	FALSE	URN	PRE1968
NDNO.2552	ND	1934	FALSE	URN	PRE1968
NDNO.2553	ND	1934	FALSE	URN	PRE1968
NDNO.2554	ND	1934	FALSE	URN	PRE1968
NDNO.2555	ND	1934	FALSE	URN	PRE1968
NS.2260	ND	1934	FALSE	URN	PRE1968
PILOT	ND	1934	FALSE	URN	PRE1968
RENOWN	AAFC-CA	1934	FALSE	URN	PRE1968
RL704	AAFC-CA	1934	FALSE	URN	PRE1968
SDSEL.1552	SD	1934	FALSE	URN	PRE1968
25347A-1-4-9	ND	1935	FALSE	URN	PRE1968
26374A-1-19-4-1	MT	1935	FALSE	URN	PRE1968
26375A-1-11-38	ND	1935	FALSE	URN	PRE1968
27462A-3-1-14-9-20-1	ND	1935	FALSE	URN	PRE1968
C-26-59-2	AAFC-CA	1935	FALSE	URN	PRE1968
CI11711	ND	1935	FALSE	URN	PRE1968
NS.2594	ND	1935	FALSE	URN	PRE1968
NS.2601	ND	1935	FALSE	URN	PRE1968
RIVAL	ND	1935	FALSE	URN	PRE1968
VESTA	ND	1935	FALSE	URN	PRE1968
II-28-16	MN	1936	FALSE	URN	PRE1968
II-28-61	MN	1936	FALSE	URN	PRE1968
II-28-68	MN	1936	FALSE	URN	PRE1968
II-32-16-4	SD	1936	FALSE	URN	PRE1968
N1248	ND	1936	FALSE	URN	PRE1968
N1249	ND	1936	FALSE	URN	PRE1968
N1250	ND	1936	FALSE	URN	PRE1968
N1289	ND	1936	FALSE	URN	PRE1968
N1308	ND	1936	FALSE	URN	PRE1968
